ticker,weight,note
588730.SH,15.00,科创人工智能ETF易方达 · 49900份 · 成本1.506
561380.SH,10.00,电网设备ETF国泰 · 66600份 · 成本0.732
561170.SH,10.00,绿色电力ETF富国 · 42400份 · 成本1.129
600029.SH,3.86,南方航空 · 3800股 · 成本5.181
159934.SZ,5.85,黄金ETF易方达 · 3014份 · 成本8.85
01972.HK,5.06,太古地产 · 1200股 · 成本19.865HKD
688825.SH,2.29,长鑫科技 · 200股 · 成本58.175
